"titleType","genres","weightedRating","totalVotes"
"movie","Adult,Comedy,History",6.4,54
"movie","Adult,Comedy,Horror",5.36493506493506,539
"movie","Adult,Comedy,Music",4.9,32
"movie","Adult,Comedy,Musical",5.1,262
"movie","Adult,Comedy,Mystery",5.58699551569507,223
"movie","Adult,Comedy,Reality-TV",3.2,525
"movie","Adult,Comedy,Romance",5.80524193548387,992
"movie","Adult,Comedy,Sci-Fi",5.77797619047619,168
"movie","Adult,Comedy,Sport",6.63622047244094,127
"movie","Adult,Comedy,Western",5.54210526315789,76
"movie","Adult,Crime",5.74546925566343,618
"movie","Adult,Crime,Drama",6.26533333333333,1725
"movie","Adult,Crime,Horror",5.8,229
"movie","Adult,Crime,Mystery",5.61578947368421,133
"movie","Adult,Crime,Thriller",4.5,14
"movie","Adult,Documentary",5.89605263157895,152
"movie","Adult,Documentary,History",6.32649572649573,234
"movie","Adult,Drama",5.89099573116251,10073
"movie","Adult,Drama,Fantasy",6.4027397260274,1971
"movie","Adult,Drama,Horror",5.17748585286985,2474
"movie","Adult,Drama,Music",6.74911937377691,511
"movie","Adult,Drama,Mystery",6.11696428571429,448
"movie","Adult,Drama,Romance",6.53437233134073,2342
"movie","Adult,Drama,Sport",5.62247191011236,89
"movie","Adult,Drama,Thriller",6.54700854700855,234
"movie","Adult,Drama,War",4.4,141
"movie","Adult,Fantasy",6.30711678832117,548
"movie","Adult,Fantasy,Romance",5.92803738317757,428
"movie","Adult,History",7.7,60
"movie","Adult,Horror",4.22433278115222,5433
"movie","Adult,Horror,Thriller",4.8,192
"movie","Adult,Music",6.9,192
"movie","Adult,Mystery",6.50249169435216,602
"movie","Adult,Mystery,Thriller",6,13
"movie","Adult,Romance",6.0309381237525,1002
"movie","Adult,Sci-Fi",5.40072173215718,1247
"movie","Adult,Thriller",5.92128121606949,921
"movie","Adult,Western",5.43655589123867,331
"movie","Adventure",5.742114819844,63334
"movie","Adventure,Animation",7.19019073569482,367
"movie","Adventure,Animation,Comedy",7.13644974705332,2289020
"movie","Adventure,Animation,Crime",7.48026276795416,10123
"movie","Adventure,Animation,Drama",6.8711483027148,278916
"movie","Adventure,Animation,Family",8.31566400179563,1283114
"movie","Adventure,Animation,Fantasy",6.64071925387291,63260
"movie","Adventure,Animation,Mystery",6.6,1427
"movie","Adventure,Animation,Sci-Fi",8.09695342931808,162248
"movie","Adventure,Biography,Comedy",6.88405139448325,39226
"movie","Adventure,Biography,Documentary",7.29136758151536,4263
"movie","Adventure,Biography,Drama",6.95388664629618,507597
"movie","Adventure,Biography,Family",6.2,374
"movie","Adventure,Biography,History",6.47605177993528,2472
"movie","Adventure,Biography,Romance",5.95984455958549,386
"movie","Adventure,Biography,War",5.2,369
"movie","Adventure,Comedy",6.71594446326408,637632
"movie","Adventure,Comedy,Crime",6.14476709615827,422127
"movie","Adventure,Comedy,Documentary",5.3,636
"movie","Adventure,Comedy,Drama",7.10403056688929,1754840
"movie","Adventure,Comedy,Family",6.45798941816804,3554583
"movie","Adventure,Comedy,Fantasy",5.603462754485,278651
"movie","Adventure,Comedy,Film-Noir",7.8,33233
"movie","Adventure,Comedy,History",6.77521676818345,27910
"movie","Adventure,Comedy,Horror",4.74615384615385,5265
"movie","Adventure,Comedy,Music",6.7152362794811,174137
"movie","Adventure,Comedy,Musical",6.91079260651629,38304
"movie","Adventure,Comedy,Mystery",5.51379079928039,19455
"movie","Adventure,Comedy,Romance",6.14519197763939,101965
"movie","Adventure,Comedy,Sci-Fi",7.83813745142944,2647437
"movie","Adventure,Comedy,Sport",5.89830143811573,8831
"movie","Adventure,Comedy,Thriller",5.38167938931298,1048
"movie","Adventure,Comedy,War",6.81231139552633,17033
"movie","Adventure,Comedy,Western",5.65459233125267,25793
"movie","Adventure,Crime",6.10734916166932,16342
"movie","Adventure,Crime,Drama",6.85241485148775,380541
"movie","Adventure,Crime,Family",7.58149304569969,3523
"movie","Adventure,Crime,Fantasy",5.13807296538821,1069
"movie","Adventure,Crime,Film-Noir",7,3050
"movie","Adventure,Crime,Horror",6.29512800510602,14101
"movie","Adventure,Crime,Musical",6.3,28
"movie","Adventure,Crime,Mystery",6.28671126852945,7623
"movie","Adventure,Crime,Romance",5.76740797546012,1304
"movie","Adventure,Crime,Sci-Fi",4.99963636363636,275
"movie","Adventure,Crime,Thriller",6.21435086652478,3289
"movie","Adventure,Crime,War",5.5,6
"movie","Adventure,Crime,Western",6.06043165467626,139
"movie","Adventure,Documentary",7.30311922365989,4328
"movie","Adventure,Documentary,Drama",8.00002282518759,35049
"movie","Adventure,Drama",7.59294257613003,786746
"movie","Adventure,Drama,Family",7.00289409828062,1499258
"movie","Adventure,Drama,Fantasy",7.68488884323929,700992
"movie","Adventure,Drama,Film-Noir",5.85258620689655,464
"movie","Adventure,Drama,History",7.66339343814754,1117215
"movie","Adventure,Drama,Horror",5.57398049161139,64075
"movie","Adventure,Drama,Music",6.54790546277951,7066
"movie","Adventure,Drama,Musical",6.47295894289759,2119
"movie","Adventure,Drama,Mystery",5.81731529621591,59433
"movie","Adventure,Drama,Romance",7.19332171279254,1277049
"movie","Adventure,Drama,Sci-Fi",7.92019917678248,860040
"movie","Adventure,Drama,Sport",7.56677795360685,51818
"movie","Adventure,Drama,Thriller",7.65055942259671,1187385
"movie","Adventure,Drama,War",6.70392902408111,89157
"movie","Adventure,Drama,Western",7.80753584385333,373495
"movie","Adventure,Family",6.41883287825544,81671
"movie","Adventure,Family,Fantasy",6.92466261703171,3175101
"movie","Adventure,Family,History",6.42850896370791,2287
"movie","Adventure,Family,Horror",5.9,37
"movie","Adventure,Family,Musical",6.47484805984105,4278
"movie","Adventure,Family,Mystery",6.55789574549636,10436
"movie","Adventure,Family,Romance",6.41601103208013,6889
"movie","Adventure,Family,Sci-Fi",7.62133984221767,435917
"movie","Adventure,Family,Sport",6.4,70
"movie","Adventure,Family,Thriller",6.2,47
"movie","Adventure,Family,Western",5.99502210578025,6107
"movie","Adventure,Fantasy",5.36372977532398,39123
"movie","Adventure,Fantasy,History",6.85779972752044,5872
"movie","Adventure,Fantasy,Horror",5.36850388743744,95307
"movie","Adventure,Fantasy,Musical",6.81438746438746,702
"movie","Adventure,Fantasy,Mystery",7.92556308583528,1345088
"movie","Adventure,Fantasy,Romance",6.31188908096061,69997
"movie","Adventure,Fantasy,Sci-Fi",5.74187116857323,52363
"movie","Adventure,Fantasy,War",4,263
"movie","Adventure,Film-Noir",6.8,1432
"movie","Adventure,Film-Noir,Romance",6.6,2849
"movie","Adventure,History",6.63684404119666,16312
"movie","Adventure,History,Musical",5,24
"movie","Adventure,History,Romance",6.46549686268787,13706
"movie","Adventure,History,War",7.61873185979013,53748
"movie","Adventure,Horror",5.79970252144918,133455
"movie","Adventure,Horror,Mystery",4.91581759885999,5614
"movie","Adventure,Horror,Romance",5.42908739116414,3101
"movie","Adventure,Horror,Sci-Fi",5.40249385863988,32159
"movie","Adventure,Horror,Thriller",6.29752570420572,340703
"movie","Adventure,Horror,Western",7,38695
"movie","Adventure,Music,Romance",6.28970588235294,68
"movie","Adventure,Musical",5.72830188679245,53
"movie","Adventure,Musical,Mystery",6.1,47
"movie","Adventure,Musical,Romance",4.68064516129032,124
"movie","Adventure,Musical,War",5.9,288
"movie","Adventure,Musical,Western",5.6,25
"movie","Adventure,Mystery",6.36464312928626,3937
"movie","Adventure,Mystery,Romance",5.89125799573561,1407
"movie","Adventure,Mystery,Sci-Fi",6.91377812468651,727697
"movie","Adventure,Mystery,Thriller",8.19121124287398,332584
"movie","Adventure,Mystery,War",6.23203564727955,2132
"movie","Adventure,Mystery,Western",6.3787456445993,287
