"directors","titleType","genres","numVotes","weightedRating"
"nm0149216","tvSeries","Drama",12,7.1
"nm0149446","tvSeries","Drama",1948,6.8
"nm0151540","tvSeries","Comedy",563,6.2
"nm0151540","tvSeries","Comedy",874,7.8
"nm0152401","tvSeries","Comedy",9,7.1
"nm0152401","tvSeries","Reality-TV",35,5.7
"nm0152401","tvSeries","Talk-Show",57,4.5
"nm0153078","tvSeries","Comedy,Documentary",560,7.3
"nm0154079","tvSeries","Comedy",15,7.9
"nm0154079","tvSeries","Comedy",90,7
"nm0154104","tvSeries","Comedy",266,5.8
"nm0157363","tvSeries","Action,Adventure,Animation",221,7.1
"nm0157363","tvSeries","Action,Animation,Drama",569,6.1
"nm0160208","tvSeries","Adventure,Family",339,7.2
"nm0162166","tvSeries","Comedy",13,6.5
"nm0162166","tvSeries","Drama",17,5.2
"nm0169557","tvSeries","Biography",368,7.5
"nm0169557","tvSeries","Mystery",10,7.3
"nm0169680","tvSeries","Reality-TV",61,8
"nm0170030","tvSeries","Crime,Mystery,Thriller",1985,7.5
"nm0170043","tvSeries","Drama",1548,7.8
"nm0171381","tvSeries","Reality-TV",517,2.5
"nm0175726","tvSeries","Animation,Comedy",54,6.3
"nm0175736","tvSeries","Crime,Documentary",19,7.1
"nm0178944","tvSeries","Action,Comedy,Sci-Fi",25,6.7
"nm0180462","tvSeries","Crime,Drama,Mystery",442,6.8
"nm0180462","tvSeries","Drama",27,6.7
"nm0181525","tvSeries","Drama,Thriller",661,7
"nm0182146","tvSeries","Drama",10,7.1
"nm0182146","tvSeries","Drama",20,6.6
"nm0182146","tvSeries","Drama",54,6.4
"nm0182196","tvSeries","Drama,History",76,7.9
"nm0182459","tvSeries","Drama",310,7.4
"nm0188027","tvSeries","Comedy",18,7.7
"nm0188575","tvSeries","Reality-TV",6,9
"nm0188575","tvSeries","Reality-TV",48,5.4
"nm0188575","tvSeries","Reality-TV",61,6.8
"nm0188575","tvSeries","Reality-TV",95,7.1
"nm0188575","tvSeries","Reality-TV",136,4.6
"nm0188575","tvSeries","Reality-TV",538,6.5
"nm0188575","tvSeries","Reality-TV,Romance",38,5.2
"nm0188871","tvSeries","Comedy",12788,8.6
"nm0188871","tvSeries","Family",1461,7.8
"nm0189683","tvSeries","Documentary",257,8.1
"nm0190988","tvSeries","Drama",86,7.1
"nm0190988","tvSeries","History",134,6.8
"nm0191832","tvSeries","Comedy",7663,8.2
"nm0192090","tvSeries","Comedy",18,8.7
"nm0194920","tvSeries","Comedy,Drama",15,7.4
"nm0194920","tvSeries","Crime,Drama",144,6.3
"nm0195996","tvSeries","Adult,Romance",5,6.4
"nm0196797","tvSeries","Comedy,Crime,Drama",429,6.8
"nm0206816","tvSeries","Action,Animation,Comedy",30,6
"nm0206816","tvSeries","Animation,Comedy,Fantasy",149,7.4
"nm0206816","tvSeries","Animation,Comedy,Fantasy",3329,8.1
"nm0209853","tvSeries","Action,Crime,Drama",8,8.1
"nm0209853","tvSeries","Drama,Mystery,Romance",85,7.2
"nm0210454","tvSeries","Action,Adventure,Comedy",225,3.8
"nm0210454","tvSeries","Game-Show",29,6.1
"nm0211398","tvSeries","Reality-TV",7,7.2
"nm0211398","tvSeries","Reality-TV",41,8.1
"nm0211398","tvSeries","Thriller",165,8
"nm0214320","tvSeries","Comedy",1207,7.8
"nm0214320","tvSeries","Comedy,Drama",793,5.4
"nm0214850","tvSeries","Adventure",65,5.9
"nm0214850","tvSeries","Comedy,Documentary",2270,8.5
"nm0214850","tvSeries","Reality-TV",131,7.5
"nm0218039","tvSeries","Comedy,Reality-TV",23,6
"nm0218039","tvSeries","Family",10,9.6
"nm0218039","tvSeries","Game-Show,Music",29,6.8
"nm0218039","tvSeries","Reality-TV",9,5.9
"nm0218039","tvSeries","Reality-TV",43,5.3
"nm0218752","tvSeries","Documentary,Talk-Show",1859,7.5
"nm0218752","tvSeries","Game-Show",10,4
"nm0218752","tvSeries","Game-Show",194,4.9
"nm0218752","tvSeries","Game-Show",537,6
"nm0218752","tvSeries","Short",82,4.9
"nm0219513","tvSeries","Comedy",1776,8.5
"nm0220505","tvSeries","Comedy",250,8
"nm0220720","tvSeries","Drama",29,6.6
"nm0221662","tvSeries","Action",11,6
"nm0221662","tvSeries","Crime,Drama,History",104,7.6
"nm0222563","tvSeries","Family,Short",113,6.1
"nm0226080","tvSeries","Drama,History",1102,7.5
"nm0226097","tvSeries","Drama",103,7.3
"nm0226202","tvSeries","Comedy,Mystery",515,7.4
"nm0227295","tvSeries","Game-Show",340,5.7
"nm0227295","tvSeries","Reality-TV,Talk-Show",14,5.9
"nm0227546","tvSeries","Drama",59,7.6
"nm0228134","tvSeries","Comedy,Game-Show",469,6.1
"nm0228134","tvSeries","Family,Game-Show",71,8.3
"nm0228134","tvSeries","Game-Show",14,5.5
"nm0228134","tvSeries","Game-Show",125,2.9
"nm0228134","tvSeries","Game-Show",181,6
"nm0228134","tvSeries","Game-Show",267,3.7
"nm0228134","tvSeries","Game-Show",344,6.1
"nm0228134","tvSeries","Game-Show,Reality-TV",462,3.3
"nm0229301","tvSeries","Comedy",22,5.4
"nm0232625","tvSeries","Comedy,Crime,Mystery",166,7
"nm0232625","tvSeries","Drama",25,8.6
"nm0232625","tvSeries","Drama,Romance",128,6.1
"nm0232625","tvSeries","Thriller",100,6.4
"nm0232807","tvSeries","Biography,Documentary,History",22,7.9
"nm0233002","tvSeries","Crime,Drama",34,7.6
"nm0233002","tvSeries","Drama,Thriller",13,8
"nm0233050","tvSeries","Comedy",26,6.6
"nm0234157","tvSeries","Comedy,Reality-TV",296,7
"nm0234157","tvSeries","Documentary",28,8.9
"nm0234157","tvSeries","Reality-TV",34,7.9
"nm0234483","tvSeries","History",63,7.7
"nm0235663","tvSeries","Comedy",7,2.8
"nm0235663","tvSeries","Comedy",8,7.3
"nm0235663","tvSeries","Comedy",41,6.6
"nm0235663","tvSeries","Comedy",124,7.1
"nm0235663","tvSeries","Comedy",176,7.8
"nm0235663","tvSeries","Comedy,Family,Game-Show",21,6.9
"nm0235663","tvSeries","Comedy,Game-Show",107,7.1
"nm0235663","tvSeries","Comedy,Game-Show",7975,8.4
"nm0235663","tvSeries","Comedy,Talk-Show",45,6
"nm0235663","tvSeries","Comedy,Talk-Show",97,6.6
"nm0235663","tvSeries","Game-Show",9,4.7
"nm0235663","tvSeries","Game-Show",14,5.8
"nm0235663","tvSeries","Game-Show",44,3.2
"nm0235663","tvSeries","Music,Talk-Show",16,2.7
"nm0235922","tvSeries","Comedy,Game-Show,Reality-TV",9,5.4
"nm0235922","tvSeries","Comedy,Reality-TV",20,5.9
"nm0235922","tvSeries","Documentary",22,8
"nm0235922","tvSeries","Reality-TV",31,4.9
"nm0236226","tvSeries","Comedy",140,7.3
"nm0240211","tvSeries","Comedy,Game-Show",32,3.2
"nm0240211","tvSeries","Game-Show",94,6.2
"nm0240211","tvSeries","Game-Show",159,4
"nm0240211","tvSeries","Game-Show,Music,Reality-TV",60,5.6
"nm0240211","tvSeries","Game-Show,Reality-TV",674,8
"nm0240211","tvSeries","Game-Show,Short",474,6.9
"nm0240211","tvSeries","Reality-TV",193,5.4
"nm0240211","tvSeries","Reality-TV",211,4.4
"nm0242439","tvSeries","Documentary",71,6.7
"nm0242439","tvSeries","Documentary",77,7.2
"nm0242658","tvSeries","Action,Documentary,Sport",29,6.1
"nm0242658","tvSeries","Action,Sport",298,6.4
"nm0242658","tvSeries","Documentary,Sport",448,8.6
